09180112;Bad Kohlgrub;;; ;;;;;
;;ZZ;BUNDESGEBIET;67;27;40;X;X;3
;;ZZ;INSGESAMT;67;27;40;X;X;3
;;ZZ;Darunter: EINPENDLER;56;23;33;X;X;3
;;ZZ;  davon: aus den ABL;55;22;33;X;X;3
;;ZZ; davon: aus den NBL;X;X;X;X;X;X
09180132;Seehausen a.Staffelsee;;; ;;;;;
;;09162000;München, Landeshauptstadt;25;12;13;21;4;X
;;09162;München, Landeshauptstadt;25;12;13;21;4;X
;;09173;Bad Tölz-Wolfratshausen;16;8;8;X;X;X
;;09180112;Bad Kohlgrub;10;5;5;X;X;X
;;09180124;Murnau a.Staffelsee, Markt;71;23;48;66;5;4
;;09180127;Ohlstadt;16;7;9;13;3;X
;;09180132;Seehausen a.Staffelsee;38;16;22;30;8;X
;;09180133;Spatzenhausen;13;5;8;X;X;X
;;09180134;Uffing a.Staffelsee;16;4;12;X;X;X
;;09180;Übrige Gemeinden (Kreis);47;26;21;44;3;X
